[2015-05-27 11:10:42,860] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:43,606] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:44,871] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:45,182] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:46,053] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:46,922] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:47,311] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:47,754] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:48,136] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:48,250] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:50,386] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:50,763] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:51,460] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:51,618] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:51,801] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:52,093] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:52,871] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:53,036] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:53,434] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:53,715] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:54,854] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:55,016] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:55,171] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:55,363] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:55,508] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:56,144] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:56,796] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:57,326] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:57,941] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:58,242] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:58,550] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:59,126] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:59,496] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:10:59,885] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:00,147] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:00,279] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:00,384] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:00,525] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:00,596] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:00,855] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:00,968] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:01,292] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:01,431] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:01,649] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:01,801] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:02,399] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:02,604] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:02,761] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:03,572] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:03,708] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:03,832] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:04,546] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:04,660] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:04,921] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:05,068] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:05,188] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:06,023] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:06,121] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:06,690] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:07,066] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:07,170] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:07,292] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:08,452] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:08,787] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:09,198] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:09,267] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:09,408] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:09,633] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:09,706] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:09,995] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:10,759] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:11,178] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:11,552] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:12,163] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:12,703] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:13,170] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:13,866] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:14,303] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:14,787] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:15,168] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:15,277] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:15,573] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:15,845] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:16,337] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:17,101] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:17,810] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:17,870] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:18,079] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:18,525] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:19,038] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:20,123] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:20,315] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:20,455] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:20,524] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:20,911] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:21,081] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:21,729] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:22,076] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:22,163] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:22,304] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:22,810] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:23,535] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:23,719] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:24,002] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:24,111] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:24,328] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:24,457] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:24,865] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:25,117] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:25,545] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:25,609] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:25,720] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:25,792] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:25,901] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:25,975] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:26,381] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:26,749] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:27,884] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:28,146] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:28,364] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:28,793] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:28,914] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:29,174] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:29,461] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:29,568] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:29,716] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:29,815] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:30,054] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:31,067] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:32,480] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:32,674] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:32,805] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:33,123] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:33,199] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:33,345] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:34,201] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:34,511] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:34,642] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:34,730] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:34,864] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:35,269] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:35,402] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:35,713] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:35,828] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:36,087] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:37,260] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:38,040] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:39,343] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:39,448] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:39,586] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:40,548] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:40,662] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:55,389] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:57,134] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:57,956] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:58,268] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:59,462] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:59,747] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
[2015-05-27 11:11:59,885] INFO Closing socket connection to /172.31.24.4. (kafka.network.Processor)
